# BLASTP 2.2.31+
# Query: SI2.2.0_02651
# Database: /Users/priyam/screenshotdb/protein/uniprot/uniprot_sprot.fasta
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 14 hits found
SI2.2.0_02651	sp|Q5SPL2|PHF12_MOUSE	44.10	195	100	5	142	331	203	393	1e-40	163
SI2.2.0_02651	sp|Q5SPL2|PHF12_MOUSE	41.46	164	79	3	497	653	809	962	5e-27	120
SI2.2.0_02651	sp|Q5SPL2|PHF12_MOUSE	41.84	98	51	1	44	141	26	117	1e-16	87.8
SI2.2.0_02651	sp|Q96QT6|PHF12_HUMAN	43.75	192	99	5	142	328	203	390	1e-40	163
SI2.2.0_02651	sp|Q96QT6|PHF12_HUMAN	34.33	233	119	6	444	653	742	963	5e-27	120
SI2.2.0_02651	sp|Q96QT6|PHF12_HUMAN	41.84	98	51	1	44	141	26	117	1e-16	87.8
SI2.2.0_02651	sp|Q09698|YA27_SCHPO	27.78	288	165	12	78	342	261	528	2e-22	105
SI2.2.0_02651	sp|Q04779|RCO1_YEAST	24.54	269	141	12	26	253	222	469	7e-15	82.0
SI2.2.0_02651	sp|O15164|TIF1A_HUMAN	39.45	109	57	3	52	153	795	901	3e-13	77.0
SI2.2.0_02651	sp|Q14839|CHD4_HUMAN	56.60	53	21	1	78	130	447	497	8e-13	75.9
SI2.2.0_02651	sp|Q6PDQ2|CHD4_MOUSE	56.60	53	21	1	78	130	440	490	9e-13	75.9
SI2.2.0_02651	sp|Q64127|TIF1A_MOUSE	43.53	85	42	2	73	153	820	902	1e-12	75.1
SI2.2.0_02651	sp|Q924W6|TRI66_MOUSE	52.73	55	24	1	79	133	995	1047	2e-12	74.3
SI2.2.0_02651	sp|A2A8L1|CHD5_MOUSE	62.50	48	16	1	81	128	419	464	3e-12	73.9
# BLASTP 2.2.31+
# Query: SI2.2.0_06285
# Database: /Users/priyam/screenshotdb/protein/uniprot/uniprot_sprot.fasta
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 23 hits found
SI2.2.0_06285	sp|Q23551|UNC22_CAEEL	33.47	245	113	2	2	197	5796	6039	1e-37	144
SI2.2.0_06285	sp|Q23551|UNC22_CAEEL	30.77	130	89	1	45	174	5498	5626	1e-13	73.6
SI2.2.0_06285	sp|Q8WZ42|TITIN_HUMAN	24.78	226	120	2	1	177	31332	31556	2e-20	94.7
SI2.2.0_06285	sp|Q8WZ42|TITIN_HUMAN	26.64	229	117	3	2	179	31727	31955	2e-17	85.5
SI2.2.0_06285	sp|Q8WZ42|TITIN_HUMAN	31.88	138	87	3	47	184	5013	5143	6e-12	68.6
SI2.2.0_06285	sp|Q8WZ42|TITIN_HUMAN	34.02	97	64	0	77	173	3235	3331	7e-12	68.2
SI2.2.0_06285	sp|Q8WZ42|TITIN_HUMAN	33.06	124	75	2	50	173	6797	6912	1e-11	67.4
SI2.2.0_06285	sp|Q8WZ42|TITIN_HUMAN	31.25	128	80	2	49	176	8678	8797	3e-11	66.2
SI2.2.0_06285	sp|Q8WZ42|TITIN_HUMAN	32.23	121	79	1	62	182	9061	9178	7e-11	64.7
SI2.2.0_06285	sp|Q8WZ42|TITIN_HUMAN	33.65	104	66	1	79	182	7945	8045	9e-11	64.7
SI2.2.0_06285	sp|A2ASS6|TITIN_MOUSE	24.34	226	121	2	1	177	32194	32418	1e-19	92.0
SI2.2.0_06285	sp|A2ASS6|TITIN_MOUSE	27.07	229	116	3	2	179	32589	32817	3e-17	84.7
SI2.2.0_06285	sp|A2ASS6|TITIN_MOUSE	34.02	97	64	0	77	173	3241	3337	6e-12	68.2
SI2.2.0_06285	sp|A2ASS6|TITIN_MOUSE	31.16	138	88	3	47	184	4974	5104	1e-11	67.8
SI2.2.0_06285	sp|A2ASS6|TITIN_MOUSE	33.06	124	75	2	50	173	6758	6873	3e-11	66.2
SI2.2.0_06285	sp|A2ASS6|TITIN_MOUSE	30.40	125	79	2	49	173	8639	8755	1e-10	64.3
SI2.2.0_06285	sp|Q5VST9|OBSCN_HUMAN	25.54	184	122	2	2	170	6263	6446	4e-13	72.0
SI2.2.0_06285	sp|Q00872|MYPC1_HUMAN	27.78	144	91	1	41	171	994	1137	2e-12	69.7
SI2.2.0_06285	sp|Q05623|MYBPH_CHICK	28.97	145	92	1	40	173	392	536	2e-12	68.9
SI2.2.0_06285	sp|Q9ET54|PALLD_MOUSE	32.61	92	61	1	81	171	278	369	5e-12	68.2
SI2.2.0_06285	sp|Q8WX93|PALLD_HUMAN	33.70	92	60	1	81	171	271	362	7e-12	67.8
SI2.2.0_06285	sp|Q28824|MYLK_BOVIN	35.48	93	59	1	81	172	1069	1161	2e-11	66.6
SI2.2.0_06285	sp|Q15746|MYLK_HUMAN	32.17	115	73	2	63	172	1787	1901	2e-11	66.2
# BLASTP 2.2.31+
# Query: SI2.2.0_80227
# Database: /Users/priyam/screenshotdb/protein/uniprot/uniprot_sprot.fasta
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 10 hits found
SI2.2.0_80227	sp|P42860|GSTT1_LUCCU	48.61	144	72	2	1	144	65	206	2e-39	138
SI2.2.0_80227	sp|P30106|GSTT1_DROSE	46.94	147	74	3	1	146	66	209	4e-39	137
SI2.2.0_80227	sp|P67804|GSTT1_DROMA	47.59	145	72	3	1	144	58	199	4e-39	137
SI2.2.0_80227	sp|P30108|GSTT1_DROYA	47.59	145	73	2	1	144	66	208	5e-39	137
SI2.2.0_80227	sp|P67805|GSTT1_DROSI	46.90	145	74	2	1	144	66	208	7e-39	136
SI2.2.0_80227	sp|P30107|GSTT1_DROTE	46.90	145	74	2	1	144	58	200	9e-39	136
SI2.2.0_80227	sp|P30104|GSTT1_DROER	46.90	145	74	2	1	144	66	208	3e-38	135
SI2.2.0_80227	sp|P20432|GSTT1_DROME	46.21	145	75	2	1	144	66	208	2e-37	132
