# BLASTN 2.14.1+
# Query: SI2.2.0_06267 Si_gnF.scaffold02592[1282609..1284114].pep_2
# Database: $PATH_PREFIX/sequenceserver/spec/database/v5/funky_ids/funky_ids.fa $PATH_PREFIX/sequenceserver/spec/database/v5/sample/genome/Solenopsis_invicta/Solenopsis_invicta_gnG_subset.fasta $PATH_PREFIX/sequenceserver/spec/database/v5/sample/transcripts/Solenopsis_invicta/Sinvicta2-2-3.cdna.subset.fasta
# Fields: query id, subject id, subject sci names, % query coverage per subject, % query coverage per hsp
# 1 hits found
SI2.2.0_06267	SI2.2.0_06267	N/A	100	100
# BLASTN 2.14.1+
# Query: SI2.2.0_13722 Si_gnF.scaffold06207[1925625..1928536].pep_1
# Database: $PATH_PREFIX/sequenceserver/spec/database/v5/funky_ids/funky_ids.fa $PATH_PREFIX/sequenceserver/spec/database/v5/sample/genome/Solenopsis_invicta/Solenopsis_invicta_gnG_subset.fasta $PATH_PREFIX/sequenceserver/spec/database/v5/sample/transcripts/Solenopsis_invicta/Sinvicta2-2-3.cdna.subset.fasta
# Fields: query id, subject id, subject sci names, % query coverage per subject, % query coverage per hsp
# 3 hits found
SI2.2.0_13722	SI2.2.0_13722	N/A	100	100
SI2.2.0_13722	ref|NW_011800360.1|	N/A	100	61
SI2.2.0_13722	ref|NW_011800360.1|	N/A	100	39
# BLASTN 2.14.1+
# Query: SI2.2.0_80257 Si_gnF.scaffold06514[2092364..2095011].pep_1
# Database: $PATH_PREFIX/sequenceserver/spec/database/v5/funky_ids/funky_ids.fa $PATH_PREFIX/sequenceserver/spec/database/v5/sample/genome/Solenopsis_invicta/Solenopsis_invicta_gnG_subset.fasta $PATH_PREFIX/sequenceserver/spec/database/v5/sample/transcripts/Solenopsis_invicta/Sinvicta2-2-3.cdna.subset.fasta
# Fields: query id, subject id, subject sci names, % query coverage per subject, % query coverage per hsp
# 1 hits found
SI2.2.0_80257	SI2.2.0_80257	N/A	100	100
# BLASTN 2.14.1+
# Query: SI2.2.0_06897 Si_gnF.scaffold05007[34212..34575].pep_1
# Database: $PATH_PREFIX/sequenceserver/spec/database/v5/funky_ids/funky_ids.fa $PATH_PREFIX/sequenceserver/spec/database/v5/sample/genome/Solenopsis_invicta/Solenopsis_invicta_gnG_subset.fasta $PATH_PREFIX/sequenceserver/spec/database/v5/sample/transcripts/Solenopsis_invicta/Sinvicta2-2-3.cdna.subset.fasta
# Fields: query id, subject id, subject sci names, % query coverage per subject, % query coverage per hsp
# 3 hits found
SI2.2.0_06897	SI2.2.0_06897	N/A	100	100
SI2.2.0_06897	SI2.2.0_06508	N/A	100	100
SI2.2.0_06897	SI2.2.0_02677	N/A	33	33
# BLASTN 2.14.1+
# Query: SI2.2.0_09085 Si_gnF.scaffold08068[485284..485817].pep_1
# Database: $PATH_PREFIX/sequenceserver/spec/database/v5/funky_ids/funky_ids.fa $PATH_PREFIX/sequenceserver/spec/database/v5/sample/genome/Solenopsis_invicta/Solenopsis_invicta_gnG_subset.fasta $PATH_PREFIX/sequenceserver/spec/database/v5/sample/transcripts/Solenopsis_invicta/Sinvicta2-2-3.cdna.subset.fasta
# Fields: query id, subject id, subject sci names, % query coverage per subject, % query coverage per hsp
# 1 hits found
SI2.2.0_09085	SI2.2.0_09085	N/A	100	100
# BLASTN 2.14.1+
# Query: SI2.2.0_03217 Si_gnF.scaffold07124[298310..298581].pep_2
# Database: $PATH_PREFIX/sequenceserver/spec/database/v5/funky_ids/funky_ids.fa $PATH_PREFIX/sequenceserver/spec/database/v5/sample/genome/Solenopsis_invicta/Solenopsis_invicta_gnG_subset.fasta $PATH_PREFIX/sequenceserver/spec/database/v5/sample/transcripts/Solenopsis_invicta/Sinvicta2-2-3.cdna.subset.fasta
# Fields: query id, subject id, subject sci names, % query coverage per subject, % query coverage per hsp
# 1 hits found
